"163527 - RawData - C:\Users\User\Documents\Marte\Analysis\23-022\23-022B Trial 2.spc"
"Wavelength nm.","Abs."
200.00,1.922
200.50, 
201.00,1.891
201.50, 
202.00,1.833
202.50, 
203.00,1.773
203.50, 
204.00,1.707
204.50, 
205.00,1.634
205.50, 
206.00,1.561
206.50, 
207.00,1.496
207.50, 
208.00,1.435
208.50, 
209.00,1.380
209.50, 
210.00,1.322
210.50, 
211.00,1.271
211.50, 
212.00,1.226
212.50, 
213.00,1.180
213.50, 
214.00,1.137
214.50, 
215.00,1.097
215.50, 
216.00,1.060
216.50, 
217.00,1.024
217.50, 
218.00,0.992
218.50, 
219.00,0.961
219.50, 
220.00,0.931
220.50, 
221.00,0.904
221.50, 
222.00,0.876
222.50, 
223.00,0.847
223.50, 
224.00,0.819
224.50, 
225.00,0.792
225.50, 
226.00,0.766
226.50, 
227.00,0.740
227.50, 
228.00,0.713
228.50, 
229.00,0.687
229.50, 
230.00,0.663
230.50, 
231.00,0.638
231.50, 
232.00,0.613
232.50, 
233.00,0.590
233.50, 
234.00,0.569
234.50, 
235.00,0.550
235.50, 
236.00,0.532
236.50, 
237.00,0.516
237.50, 
238.00,0.501
238.50, 
239.00,0.489
239.50, 
240.00,0.477
240.50, 
241.00,0.468
241.50, 
242.00,0.459
242.50, 
243.00,0.451
243.50, 
244.00,0.445
244.50, 
245.00,0.440
245.50, 
246.00,0.436
246.50, 
247.00,0.432
247.50, 
248.00,0.429
248.50, 
249.00,0.426
249.50, 
250.00,0.423
250.50, 
251.00,0.421
251.50, 
252.00,0.419
252.50, 
253.00,0.418
253.50, 
254.00,0.417
254.50, 
255.00,0.416
255.50, 
256.00,0.415
256.50, 
257.00,0.414
257.50, 
258.00,0.413
258.50, 
259.00,0.412
259.50, 
260.00,0.412
260.50, 
261.00,0.411
261.50, 
262.00,0.410
262.50, 
263.00,0.408
263.50, 
264.00,0.407
264.50, 
265.00,0.406
265.50, 
266.00,0.405
266.50, 
267.00,0.403
267.50, 
268.00,0.402
268.50, 
269.00,0.400
269.50, 
270.00,0.398
270.50, 
271.00,0.396
271.50, 
272.00,0.393
272.50, 
273.00,0.391
273.50, 
274.00,0.388
274.50, 
275.00,0.385
275.50, 
276.00,0.382
276.50, 
277.00,0.379
277.50, 
278.00,0.375
278.50, 
279.00,0.370
279.50, 
280.00,0.366
280.50, 
281.00,0.362
281.50, 
282.00,0.357
282.50, 
283.00,0.352
283.50, 
284.00,0.347
284.50, 
285.00,0.341
285.50, 
286.00,0.335
286.50, 
287.00,0.329
287.50, 
288.00,0.323
288.50, 
289.00,0.318
289.50, 
290.00,0.313
290.50, 
291.00,0.307
291.50, 
292.00,0.302
292.50, 
293.00,0.297
293.50, 
294.00,0.292
294.50, 
295.00,0.286
295.50, 
296.00,0.281
296.50, 
297.00,0.277
297.50, 
298.00,0.273
298.50, 
299.00,0.269
299.50, 
300.00,0.265
300.50, 
301.00,0.261
301.50, 
302.00,0.258
302.50, 
303.00,0.255
303.50, 
304.00,0.252
304.50, 
305.00,0.250
305.50, 
306.00,0.248
306.50, 
307.00,0.244
307.50, 
308.00,0.242
308.50, 
309.00,0.240
309.50, 
310.00,0.238
310.50, 
311.00,0.236
311.50, 
312.00,0.234
312.50, 
313.00,0.232
313.50, 
314.00,0.231
314.50, 
315.00,0.229
315.50, 
316.00,0.227
316.50, 
317.00,0.226
317.50, 
318.00,0.225
318.50, 
319.00,0.224
319.50, 
320.00,0.223
320.50, 
321.00,0.222
321.50, 
322.00,0.221
322.50, 
323.00,0.220
323.50, 
324.00,0.218
324.50, 
325.00,0.217
325.50, 
326.00,0.217
326.50, 
327.00,0.216
327.50, 
328.00,0.214
328.50, 
329.00,0.213
329.50, 
330.00,0.212
330.50, 
331.00,0.211
331.50, 
332.00,0.209
332.50, 
333.00,0.208
333.50, 
334.00,0.207
334.50, 
335.00,0.206
335.50, 
336.00,0.205
336.50, 
337.00,0.205
337.50, 
338.00,0.203
338.50, 
339.00,0.201
339.50, 
340.00,0.200
340.50, 
341.00,0.199
341.50, 
342.00,0.197
342.50, 
343.00,0.196
343.50, 
344.00,0.194
344.50, 
345.00,0.192
345.50, 
346.00,0.190
346.50, 
347.00,0.189
347.50, 
348.00,0.188
348.50, 
349.00,0.187
349.50, 
350.00,0.185
350.50, 
351.00,0.183
351.50, 
352.00,0.182
352.50, 
353.00,0.180
353.50, 
354.00,0.179
354.50, 
355.00,0.178
355.50, 
356.00,0.177
356.50, 
357.00,0.175
357.50, 
358.00,0.174
358.50, 
359.00,0.172
359.50, 
360.00,0.171
360.50, 
361.00,0.170
361.50, 
362.00,0.169
362.50, 
363.00,0.168
363.50, 
364.00,0.167
364.50, 
365.00,0.164
365.50, 
366.00,0.161
366.50, 
367.00,0.160
367.50, 
368.00,0.160
368.50, 
369.00,0.159
369.50, 
370.00,0.157
370.50, 
371.00,0.156
371.50, 
372.00,0.155
372.50, 
373.00,0.154
373.50, 
374.00,0.152
374.50, 
375.00,0.151
375.50, 
376.00,0.150
376.50, 
377.00,0.149
377.50, 
378.00,0.148
378.50, 
379.00,0.147
379.50, 
380.00,0.146
380.50, 
381.00,0.145
381.50, 
382.00,0.143
382.50, 
383.00,0.142
383.50, 
384.00,0.141
384.50, 
385.00,0.140
385.50, 
386.00,0.139
386.50, 
387.00,0.138
387.50, 
388.00,0.137
388.50, 
389.00,0.136
389.50, 
390.00,0.135
390.50, 
391.00,0.134
391.50, 
392.00,0.133
392.50, 
393.00,0.132
393.50, 
394.00,0.131
394.50, 
395.00,0.130
395.50, 
396.00,0.130
396.50, 
397.00,0.128
397.50, 
398.00,0.128
398.50, 
399.00,0.127
399.50, 
400.00,0.126
400.50, 
401.00,0.125
401.50, 
402.00,0.124
402.50, 
403.00,0.123
403.50, 
404.00,0.123
404.50, 
405.00,0.122
405.50, 
406.00,0.121
406.50, 
407.00,0.121
407.50, 
408.00,0.120
408.50, 
409.00,0.120
409.50, 
410.00,0.119
410.50, 
411.00,0.118
411.50, 
412.00,0.118
412.50, 
413.00,0.117
413.50, 
414.00,0.116
414.50, 
415.00,0.116
415.50, 
416.00,0.115
416.50, 
417.00,0.114
417.50, 
418.00,0.113
418.50, 
419.00,0.112
419.50, 
420.00,0.112
420.50, 
421.00,0.111
421.50, 
422.00,0.110
422.50, 
423.00,0.109
423.50, 
424.00,0.109
424.50, 
425.00,0.108
425.50, 
426.00,0.107
426.50, 
427.00,0.106
427.50, 
428.00,0.105
428.50, 
429.00,0.105
429.50, 
430.00,0.104
430.50, 
431.00,0.103
431.50, 
432.00,0.102
432.50, 
433.00,0.102
433.50, 
434.00,0.101
434.50, 
435.00,0.101
435.50, 
436.00,0.100
436.50, 
437.00,0.099
437.50, 
438.00,0.099
438.50, 
439.00,0.098
439.50, 
440.00,0.097
440.50, 
441.00,0.097
441.50, 
442.00,0.096
442.50, 
443.00,0.095
443.50, 
444.00,0.094
444.50, 
445.00,0.094
445.50, 
446.00,0.093
446.50, 
447.00,0.093
447.50, 
448.00,0.092
448.50, 
449.00,0.091
449.50, 
450.00,0.090
450.50, 
451.00,0.089
451.50, 
452.00,0.089
452.50, 
453.00,0.088
453.50, 
454.00,0.088
454.50, 
455.00,0.087
455.50, 
456.00,0.086
456.50, 
457.00,0.086
457.50, 
458.00,0.085
458.50, 
459.00,0.085
459.50, 
460.00,0.084
460.50, 
461.00,0.084
461.50, 
462.00,0.084
462.50, 
463.00,0.083
463.50, 
464.00,0.083
464.50, 
465.00,0.082
465.50, 
466.00,0.082
466.50, 
467.00,0.082
467.50, 
468.00,0.081
468.50, 
469.00,0.081
469.50, 
470.00,0.080
470.50, 
471.00,0.080
471.50, 
472.00,0.080
472.50, 
473.00,0.079
473.50, 
474.00,0.079
474.50, 
475.00,0.079
475.50, 
476.00,0.078
476.50, 
477.00,0.078
477.50, 
478.00,0.078
478.50, 
479.00,0.077
479.50, 
480.00,0.077
480.50, 
481.00,0.077
481.50, 
482.00,0.076
482.50, 
483.00,0.076
483.50, 
484.00,0.076
484.50, 
485.00,0.075
485.50, 
486.00,0.075
486.50, 
487.00,0.075
487.50, 
488.00,0.074
488.50, 
489.00,0.074
489.50, 
490.00,0.074
490.50, 
491.00,0.073
491.50, 
492.00,0.073
492.50, 
493.00,0.073
493.50, 
494.00,0.073
494.50, 
495.00,0.072
495.50, 
496.00,0.072
496.50, 
497.00,0.072
497.50, 
498.00,0.072
498.50, 
499.00,0.071
499.50, 
500.00,0.071
500.50, 
501.00,0.071
501.50, 
502.00,0.071
502.50, 
503.00,0.070
503.50, 
504.00,0.070
504.50, 
505.00,0.070
505.50, 
506.00,0.070
506.50, 
507.00,0.069
507.50, 
508.00,0.069
508.50, 
509.00,0.069
509.50, 
510.00,0.069
510.50, 
