"164312 - RawData - C:\Users\User\Documents\Marte\Analysis\23-022\23-022C Trial 1u.spc"
"Wavelength nm.","Abs."
200.00,1.670
200.50, 
201.00,1.632
201.50, 
202.00,1.561
202.50, 
203.00,1.493
203.50, 
204.00,1.427
204.50, 
205.00,1.370
205.50, 
206.00,1.319
206.50, 
207.00,1.272
207.50, 
208.00,1.226
208.50, 
209.00,1.181
209.50, 
210.00,1.138
210.50, 
211.00,1.095
211.50, 
212.00,1.052
212.50, 
213.00,1.007
213.50, 
214.00,0.964
214.50, 
215.00,0.919
215.50, 
216.00,0.876
216.50, 
217.00,0.834
217.50, 
218.00,0.796
218.50, 
219.00,0.761
219.50, 
220.00,0.728
220.50, 
221.00,0.696
221.50, 
222.00,0.667
222.50, 
223.00,0.639
223.50, 
224.00,0.613
224.50, 
225.00,0.589
225.50, 
226.00,0.568
226.50, 
227.00,0.550
227.50, 
228.00,0.536
228.50, 
229.00,0.525
229.50, 
230.00,0.517
230.50, 
231.00,0.512
231.50, 
232.00,0.509
232.50, 
233.00,0.509
233.50, 
234.00,0.511
234.50, 
235.00,0.515
235.50, 
236.00,0.521
236.50, 
237.00,0.529
237.50, 
238.00,0.538
238.50, 
239.00,0.550
239.50, 
240.00,0.563
240.50, 
241.00,0.577
241.50, 
242.00,0.592
242.50, 
243.00,0.608
243.50, 
244.00,0.624
244.50, 
245.00,0.641
245.50, 
246.00,0.658
246.50, 
247.00,0.675
247.50, 
248.00,0.693
248.50, 
249.00,0.710
249.50, 
250.00,0.726
250.50, 
251.00,0.739
251.50, 
252.00,0.749
252.50, 
253.00,0.757
253.50, 
254.00,0.764
254.50, 
255.00,0.769
255.50, 
256.00,0.773
256.50, 
257.00,0.776
257.50, 
258.00,0.776
258.50, 
259.00,0.772
259.50, 
260.00,0.763
260.50, 
261.00,0.752
261.50, 
262.00,0.740
262.50, 
263.00,0.727
263.50, 
264.00,0.714
264.50, 
265.00,0.701
265.50, 
266.00,0.687
266.50, 
267.00,0.673
267.50, 
268.00,0.659
268.50, 
269.00,0.644
269.50, 
270.00,0.629
270.50, 
271.00,0.613
271.50, 
272.00,0.598
272.50, 
273.00,0.583
273.50, 
274.00,0.568
274.50, 
275.00,0.552
275.50, 
276.00,0.536
276.50, 
277.00,0.521
277.50, 
278.00,0.504
278.50, 
279.00,0.489
279.50, 
280.00,0.473
280.50, 
281.00,0.457
281.50, 
282.00,0.442
282.50, 
283.00,0.427
283.50, 
284.00,0.411
284.50, 
285.00,0.396
285.50, 
286.00,0.382
286.50, 
287.00,0.368
287.50, 
288.00,0.356
288.50, 
289.00,0.344
289.50, 
290.00,0.332
290.50, 
291.00,0.321
291.50, 
292.00,0.312
292.50, 
293.00,0.303
293.50, 
294.00,0.294
294.50, 
295.00,0.287
295.50, 
296.00,0.280
296.50, 
297.00,0.274
297.50, 
298.00,0.269
298.50, 
299.00,0.265
299.50, 
300.00,0.261
300.50, 
301.00,0.258
301.50, 
302.00,0.256
302.50, 
303.00,0.253
303.50, 
304.00,0.252
304.50, 
305.00,0.250
305.50, 
306.00,0.247
306.50, 
307.00,0.244
307.50, 
308.00,0.242
308.50, 
309.00,0.240
309.50, 
310.00,0.238
310.50, 
311.00,0.235
311.50, 
312.00,0.231
312.50, 
313.00,0.228
313.50, 
314.00,0.224
314.50, 
315.00,0.219
315.50, 
316.00,0.215
316.50, 
317.00,0.211
317.50, 
318.00,0.206
318.50, 
319.00,0.202
319.50, 
320.00,0.197
320.50, 
321.00,0.191
321.50, 
322.00,0.186
322.50, 
323.00,0.180
323.50, 
324.00,0.175
324.50, 
325.00,0.171
325.50, 
326.00,0.167
326.50, 
327.00,0.163
327.50, 
328.00,0.160
328.50, 
329.00,0.157
329.50, 
330.00,0.156
330.50, 
331.00,0.154
331.50, 
332.00,0.153
332.50, 
333.00,0.153
333.50, 
334.00,0.154
334.50, 
335.00,0.155
335.50, 
336.00,0.157
336.50, 
337.00,0.158
337.50, 
338.00,0.161
338.50, 
339.00,0.162
339.50, 
340.00,0.164
340.50, 
341.00,0.169
341.50, 
342.00,0.175
342.50, 
343.00,0.178
343.50, 
344.00,0.182
344.50, 
345.00,0.185
345.50, 
346.00,0.190
346.50, 
347.00,0.195
347.50, 
348.00,0.200
348.50, 
349.00,0.206
349.50, 
350.00,0.212
350.50, 
351.00,0.216
351.50, 
352.00,0.222
352.50, 
353.00,0.228
353.50, 
354.00,0.234
354.50, 
355.00,0.242
355.50, 
356.00,0.249
356.50, 
357.00,0.256
357.50, 
358.00,0.263
358.50, 
359.00,0.271
359.50, 
360.00,0.278
360.50, 
361.00,0.286
361.50, 
362.00,0.294
362.50, 
363.00,0.302
363.50, 
364.00,0.308
364.50, 
365.00,0.322
365.50, 
366.00,0.338
366.50, 
367.00,0.346
367.50, 
368.00,0.356
368.50, 
369.00,0.366
369.50, 
370.00,0.376
370.50, 
371.00,0.386
371.50, 
372.00,0.397
372.50, 
373.00,0.407
373.50, 
374.00,0.418
374.50, 
375.00,0.430
375.50, 
376.00,0.441
376.50, 
377.00,0.453
377.50, 
378.00,0.464
378.50, 
379.00,0.474
379.50, 
380.00,0.486
380.50, 
381.00,0.497
381.50, 
382.00,0.507
382.50, 
383.00,0.518
383.50, 
384.00,0.529
384.50, 
385.00,0.540
385.50, 
386.00,0.550
386.50, 
387.00,0.560
387.50, 
388.00,0.569
388.50, 
389.00,0.578
389.50, 
390.00,0.588
390.50, 
391.00,0.597
391.50, 
392.00,0.606
392.50, 
393.00,0.615
393.50, 
394.00,0.623
394.50, 
395.00,0.632
395.50, 
396.00,0.641
396.50, 
397.00,0.651
397.50, 
398.00,0.660
398.50, 
399.00,0.668
399.50, 
400.00,0.678
400.50, 
401.00,0.687
401.50, 
402.00,0.696
402.50, 
403.00,0.705
403.50, 
404.00,0.712
404.50, 
405.00,0.720
405.50, 
406.00,0.727
406.50, 
407.00,0.731
407.50, 
408.00,0.736
408.50, 
409.00,0.740
409.50, 
410.00,0.744
410.50, 
411.00,0.746
411.50, 
412.00,0.746
412.50, 
413.00,0.746
413.50, 
414.00,0.746
414.50, 
415.00,0.744
415.50, 
416.00,0.742
416.50, 
417.00,0.738
417.50, 
418.00,0.733
418.50, 
419.00,0.729
419.50, 
420.00,0.725
420.50, 
421.00,0.721
421.50, 
422.00,0.718
422.50, 
423.00,0.714
423.50, 
424.00,0.708
424.50, 
425.00,0.704
425.50, 
